track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,103,,383.50360956097325,394.39988195225266,,,,,362.09880453228607,467.9313955790702,,337.348587646323,528.132667218229,
,109,,377.4433199763453,391.57174681275967,,382.42701982342544,283.79205783029516,,362.09880453228607,463.89120252265167,,,,
,134,,380.4472443196173,388.56782246948774,,,,,328.19737265821686,448.44244875725303,,284.5653456145443,479.2116136277999,
,157,,371.4354712898015,373.97733280216687,,473.4030142196618,348.5909972351617,,305.4533740591578,406.3875079514456,,,,
,164,,380.64633883347574,376.60900924321663,,,,,305.782333614289,373.4915524383234,,206.27297149331355,376.90519198199,
,186,,423.98190716466445,348.419853144288,,,,,376.04485702505133,290.60701883401094,,297.15144488687446,217.0263961970217,
,188,,429.45144491520284,348.419853144288,,497.80556726052544,423.4815910502258,,377.30705804440635,289.3448178146559,,,,
,207,,511.98222881004165,325.2533173141578,,,,,494.94962280678624,245.90756313316177,,451.35369900617854,150.4226056853974,
,211,,534.0628332731345,316.565866377859,,543.0527075537484,416.6040257256559,,522.4598841050658,242.64976903204973,,,,
,228,,642.3986723590408,320.6694966462645,,,,,646.3895182109131,238.5461387636442,,630.2719787086602,139.75316698754298,
,231,,671.9448102915608,318.61768151206184,,634.9740255660325,416.60402572565596,,667.3180325797814,238.13577573680365,,,,
