track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,167,,831.0804355525893,221.38276497484387,,913.9139997034192,135.0815208966182,,842.7485923101306,295.363627892234,,936.7209391438123,357.28671375499084,
,213,,434.2110210324877,179.4599394973684,,,,,374.33088897513755,208.7231219054513,,300.6119338989172,253.8770775772179,
,218,,423.7119412735407,189.11909287559968,,503.2395551898736,110.88912135286208,,361.31203007404315,203.68356362115674,,,,
,234,,473.0746926747149,215.5889740617366,,,,,451.8104076428625,155.03621441420248,,418.29559484809334,80.7497465759983,
,240,,518.8604331047895,198.06162030334866,,512.8974848118426,312.9902412199883,,502.9616645295865,137.15115955870465,,,,
,252,,656.4584509262008,206.124004160072,,,,,654.2657349074274,135.00119053024508,,595.1305474388914,62.74375596264956,
,257,,727.1386827368085,197.25538191767635,,656.6766635900751,289.6093280354907,,739.7270037886946,134.19495214457277,,,,
