track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,202,,404.0619817773222,352.0274192137923,,516.2021195685725,366.35020909758015,,321.39937223529444,343.14275857112546,,,,
,204,,401.00481127292693,347.1868992484998,,,,,323.4374859048912,327.8569060491491,,214.70417939326956,327.6868345597835,
,222,,466.58223240281905,325.7401954827489,,,,,447.5809057797185,247.84420353846298,,394.52654173687324,152.40127493585786,
,226,,499.577161273205,310.4800408801954,,524.0384151752892,418.3172220684381,,478.10121498482556,233.82135876854898,,,,
,239,,687.6431977931577,322.9485073898055,,,,,680.1942763280897,250.44598078136246,,595.5805642043365,199.15802434689584,
