track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,120,,309.19651198596625,273.8191595409187,,313.02200492120755,184.1073202412178,,302.7719700092414,353.1068453315769,,,,
,130,,322.76126298458814,279.57390238881885,,,,,288.79616595005524,351.46263308931975,,253.70109653056517,431.0470715758463,
,167,,316.59546707612367,309.9918288705769,,379.20154767205963,214.11419366241157,,253.44560274152553,346.1189433019839,,,,
,168,,321.9391568634595,303.4149799015481,,,,,252.21244355983265,342.00841269634094,,227.80475371501433,368.56700637007293,
,195,,326.46074052966674,293.54970644800494,,,,,266.5993006795831,259.79780058348126,,206.42999456567082,198.80209235701767,
,198,,328.1049527719239,292.31654726631206,,403.0426251847889,386.75647909941694,,268.2435129218403,254.86516385670964,,,,
,219,,391.40712409882576,277.107584025433,,,,,371.00677806291503,208.00511495237959,,347.42119433922517,100.14935782158602,
,221,,396.7508138861617,272.99705341979006,,386.1894497016526,397.854911734653,,381.2831045770225,201.4282659833508,,,,
