track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,56,,641.048572313261,346.9944338763438,,649.1079434099029,249.9734711424942,,648.5717162441063,392.4312358592674,,,,
,71,,638.1788795564448,371.86510443541795,,,,,660.5287693975074,411.0842387785731,,687.0406405195798,505.2325032970139,
,85,,627.178390655316,402.4751605081244,,576.4090602372249,328.8900219549406,,673.9206689293164,425.9109846887902,,,,
,92,,636.2657510519007,442.1725769774156,,,,,683.9645935781732,440.7377305990075,,752.5652918002171,427.27251673683975,
,108,,695.0944525666334,509.6103567625969,,607.9756805622035,520.6811545354919,,728.9231134349609,483.30483982511487,,,,
,115,,725.70450863934,531.6113345648546,,,,,760.4897337599394,496.696739356924,,797.5238116570047,445.44723753000915,
,128,,792.6948827321282,559.2222319949901,,724.7561975617936,603.5138468258989,,809.8272390039524,517.9707095080122,,,,
,146,,894.5474485077734,580.99991875623,,,,,907.3242674273497,530.3672388951795,,880.6140626845048,441.09170017776114,
,147,,903.9286058818459,578.3195880779236,,858.1026488075397,644.053848335284,,907.3242674273497,530.3672388951795,,,,
,177,,1091.284143978923,572.5101140284019,,1043.6427262641414,650.589506640996,,1087.0548708344297,523.4684884613724,,1042.5531518149241,439.6393316653807,
