track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,92,,813.5105640845952,452.2238992144458,,790.983552642015,360.9377941780698,,825.1983812202475,498.65224079600483,,,,
,107,,851.7110982972704,453.3993002671434,,,,,872.2144233281554,504.5292460594933,,884.3507701343025,571.1785522331916,
,112,,851.7110982972704,474.7702284980107,,782.240900183933,422.622064298982,,893.0996486446847,500.64362274479015,,,,
,122,,879.2424677911933,545.3506484733406,,803.7654254246365,553.7714971609427,,922.6332995563475,530.6778440108881,,,,
,124,,889.2538748798927,559.3666183975197,,,,,933.6458473539169,537.6858289729776,,987.9688335023402,478.0724663082882,
,131,,939.4980553060019,611.0463468358035,,872.6717300090148,649.9532139766375,,965.7064196258152,570.7034332529921,,,,
,132,,951.9394714115147,621.0951829210254,,,,,973.3626756907463,575.488593293574,,987.9688335023402,501.51975050713924,
,139,,1018.9317119796603,655.0698192091564,,992.7792470276188,703.5470064311539,,1030.7845961777282,595.1077494599595,,,,
,140,,1033.2871921014057,656.9838832253893,,,,,1039.3978842507754,606.1136175532977,,1035.8204339081585,521.1389066735247,
,150,,1140.9919498383963,677.7763074989396,,1109.2168229595004,735.9831882978924,,1145.4392480458819,622.3317084866669,,1122.3169188861277,548.1690582291401,
