track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,86,,541.708393220018,444.6314001671517,,,,,539.2792315976071,368.27688165625955,,575.4021965711473,270.8093080226399,
,92,,506.25035746171153,444.6314001671517,,569.6688238543744,522.4224448938852,,518.209963973106,370.8463045372963,,,,
,146,,354.17939958019275,351.84873053907063,,,,,322.2954222028354,421.29555001516303,,281.3449526175994,471.10205515627524,
,147,,354.17939958019275,351.84873053907063,,357.5941504187606,250.45631275654694,,324.2590765864985,416.87732765192106,,,,
,171,,374.8279267006351,353.56944113244083,,,,,325.4062169820787,402.5380727071695,,276.18282083748886,437.8349836844516,
,184,,374.8279267006351,353.56944113244083,,396.59692386848485,253.89773394328736,,325.4062169820787,402.5380727071695,,,,
,195,,396.48091855680525,361.177249081906,,396.59692386848485,253.89773394328736,,324.2357849898533,384.9815928237883,,271.50109286858725,380.48381606540636,
,218,,455.390550066698,358.7226811023271,,,,,405.23652831595575,298.5807999426122,,329.91981078256424,217.5005022213698,
,220,,462.75425400543463,355.7771995268325,,513.4343596964388,445.84494994635463,,417.50936821385005,295.6353183671175,,,,
,244,,568.7915907232416,357.2499403145798,,,,,561.3470518171716,280.90791048964434,,536.1035210671888,173.31827858895025,
,247,,584.0099121966305,359.2135946982429,,558.5984105206899,467.93606176256435,,578.5290276742237,280.90791048964434,,,,
