track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,147,,448.93350157734176,227.97702156309515,,,,,420.04127437593536,264.19544619595933,,389.35044113832384,337.59807258498154,
,183,,499.5652780975343,185.8454702981174,,565.6261491751081,206.71757858607657,,456.25962546337246,171.06254339969277,,,,
,185,,500.6740031308232,182.88887020934703,,,,,456.25962546337246,161.82316812228532,,373.8282906722794,142.09289171504093,
,210,,606.1708699346749,188.60048401719888,,,,,608.1213572956685,139.9846447393224,,595.5732973300569,62.130298405115056,
,215,,632.3770979942306,190.61634771408777,,585.784786143997,264.1696939474099,,635.3355172036684,143.34441756747054,,,,
