track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,90,,382.38445503390415,299.6936491851767,,400.6373656240088,201.35594512138465,,359.60104930500216,361.15299519408126,,376.8107681411015,447.8727602633635,
,135,,337.9101687787535,308.9591254883331,,407.5864728513761,260.6549934615855,,268.7993815340696,346.79150692418887,,,,
,166,,350.7531868533375,292.1303431837058,,,,,287.84247729983207,254.23320424873882,,182.83690894566058,185.69804646495936,
,168,,350.7531868533375,290.35889241479765,,404.0435713135598,404.58536843537155,,295.8140057599187,247.59026386533333,,,,
,197,,417.1825906873926,280.61591318580287,,,,,389.70089651205,217.91846348612205,,373.7107292955123,102.43986032627697,
,201,,433.12564760756584,277.5158743402137,,446.11552707512806,377.12788151729546,,408.3011295855855,203.30399464262993,,,,
