track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,91,,434.9779191703071,359.5778709264656,,457.07422033167524,265.51686547522866,,424.65301528907395,433.7807051000465,,,,
,116,,395.52929264671224,359.5778709264656,,,,,376.07276225538766,429.7627894356062,,326.73971530445317,481.4827933445364,
,120,,399.91247337155613,361.4041962284839,,405.2065817543561,270.99584138128347,,376.80329237619503,431.5891147376244,,,,
,167,,413.09374628704586,373.8101001489448,,,,,342.42860026325127,399.5405296097671,,285.6451585679264,420.2286427372607,
,176,,426.71101948752437,376.728087263333,,512.6857738009903,423.7038337009359,,350.6962304206847,387.3822499664827,,,,
,186,,426.71101948752437,376.728087263333,,,,,355.0732110922671,347.9894239222411,,264.2465863957458,303.0228269759989,
,203,,476.8031316178562,376.728087263333,,,,,449.9077923098856,302.760623649223,,405.2826302578451,207.21558338691756,
,216,,548.7801471061,366.51513236297404,,563.2642171170535,471.36428990261084,,527.2344508411745,292.0613375631327,,,,
,225,,592.5901464819017,354.45733436963405,,,,,573.8579364154223,278.3958331706808,,545.1530869805882,179.08072140245775,
,238,,670.3290361508971,365.48412723048455,,634.9383707125811,468.60759168739827,,675.8557703782885,285.5632485302336,,,,
,247,,738.1438122451273,362.1760893722295,,,,,737.0544707560082,286.6659278163186,,706.6956023920468,180.1834006885428,
