track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,217,,357.9530534547979,284.0113416363924,,,,,325.09570329429897,311.1307885197714,,241.6237902711457,343.1708644562951,
,218,,357.9530534547979,284.0113416363924,,358.4859397632007,212.59175120546428,,325.09570329429897,311.1307885197714,,,,
,231,,421.10792975855736,260.6068874767639,,,,,392.7085708665591,231.2584449591344,,335.61310618203487,204.97313513277422,
,248,,566.7356445295793,232.7444420486347,,,,,563.2267368867098,187.79303009125286,,525.0777350933133,132.90227629201337,
