track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,129,,493.3747430265489,567.2229226167788,,,,,489.7759758886584,618.0849436651413,,530.1614409815859,694.1833218709298,
,131,,485.7900556772317,564.5459741405491,,477.4451902592888,466.8541512623975,,481.298972380598,614.0695209507969,,,,
,144,,480.6293929830176,520.164274970309,,,,,430.72447797730115,512.4044658747819,,368.6326986526889,549.6847664329389,
,151,,490.77717448629926,459.87451427434155,,572.3567937311582,494.9097824773527,,436.0968328908032,449.7269918839246,,,,
,153,,488.1806067062489,454.2486174175657,,,,,446.9158653076797,420.7319850066955,,404.9846475733941,427.6460807705715,
,167,,696.0661507900481,374.65515973308845,,647.2374808948441,416.363607130829,,697.2163440786018,324.3820099149598,,623.3430150367299,266.3646007257096,
