track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,137,,494.59263657906246,538.2619185024298,,581.9634197645987,503.1593298847551,,463.17286531962003,571.6798769854346,,482.05756655849837,660.886518275586,
,158,,440.0067938170453,418.27141729583377,,514.5917039231903,417.100568773467,,388.9164485893085,403.0047052073098,,328.62708960580187,418.4466941163572,
,168,,508.09099110722633,353.3539268563587,,,,,479.1675938344323,314.3369133875391,,419.4060193260433,262.75027395664085,
,170,,527.0912322114629,341.21488392865206,,544.6754190048982,413.9338619227609,,499.2234038889043,299.0311636091262,,,,
,182,,687.8555078741877,294.4218238654382,,,,,677.5929892783829,241.11896056059425,,591.7527355984745,188.15935643013165,
,183,,697.1214603619528,287.93565712400266,,658.1833369800211,362.97112324005275,,697.514787127078,240.65566293620603,,,,
