track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,126,,350.12382636929976,400.42951017797554,,,,,336.9458561971205,469.5747167330227,,328.2426287496193,547.6331648089295,
,133,,345.0644210116134,395.3701048202892,,318.1220785097463,289.06868227294126,,333.0107631411422,472.38549748729287,,,,
,157,,334.9215781207916,390.9072539483276,,299.4592475906343,297.9943840168644,,317.18792823146026,457.7798037245095,,,,
,158,,335.7330055520573,388.8786853701632,,,,,317.18792823146026,457.7798037245095,,271.84842227665035,481.50182916077165,
,178,,353.8520881002454,374.47633770365474,,307.8219010744134,278.48152588804646,,324.15680613460955,428.0459246710726,,,,
,179,,353.8520881002454,374.47633770365474,,,,,324.15680613460955,428.0459246710726,,232.82270601901445,409.0254989680193,
,197,,426.6071734091238,343.534519813672,,,,,347.57223588919106,339.8199304172029,,290.1068823829014,318.7088413432049,
,198,,425.3527753865569,346.0433158588057,,527.3415550236153,376.32457164826224,,350.49916460851375,333.9660729785575,,,,
,213,,489.6601686671994,331.7527840186629,,,,,455.9969143695678,263.35403329785197,,394.3437028639429,183.7894083818568,
,222,,541.7785789077202,319.14349121853684,,531.1243428636532,428.0226721287787,,522.8261662102356,243.59947457765458,,,,
,232,,594.0686262348929,305.417353795154,,,,,588.1887253692014,231.18058833745107,,569.5153614099712,143.91824729488766,
,237,,624.7890290396068,312.6072353026402,,585.3752669655947,414.9501602969856,,624.1381329066327,238.37046984493733,,,,
,251,,741.1343843425659,332.21600305032996,,,,,749.7085535533381,252.9531039451977,,710.0448636017477,168.10239418370503,
,255,,776.5335189547561,335.6862538443513,,714.2763439115536,423.3763400543686,,783.1186692945103,259.2120596283613,,,,
