track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,85,,733.8146803345242,324.4632117204659,,719.9195285307198,232.10597422976508,,726.9299605878166,370.0697809426241,,,,
,96,,758.9794012090085,307.0019768279665,,,,,727.9570920520812,338.74227128255166,,679.5019199340688,381.81618422707635,
,106,,766.1693214588613,293.6492677925258,,803.6307428682903,211.0497792123394,,731.0384864448752,324.8759965149786,,,,
,111,,773.3146832326922,292.69655288934837,,,,,732.4675587996414,310.10891551572774,,665.2111963864068,352.28202222857465,
,125,,832.7809223046736,271.0366644856465,,,,,806.1111793722275,234.89003033196317,,757.7579922931328,208.14531030575876,
,131,,867.8305599033913,258.8283637490146,,870.5794888433686,333.5266027314534,,843.5237138877126,218.74356806738547,,,,
,136,,896.6104982316583,251.81786595110339,,,,,883.3728592653132,205.82949317649638,,843.3598601413117,159.0718257203803,
,142,,944.5242543080849,248.05321368795563,,908.5682525896782,331.8153971572953,,944.6340188201727,199.66915310952726,,,,
,145,,973.7056251056356,248.05321368795563,,,,,974.3017457976824,201.1282216494048,,942.0901646730244,142.53571560176835,
