track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,118,,1006.3267695485401,477.4720114929154,,956.6904105406602,402.2706102159041,,1029.6748647378354,521.3319819907947,,,,
,120,,1008.7552841202296,478.9291202359291,,,,,1038.9032201102552,523.2747936481463,,1112.8579597945595,569.4733658225329,
,138,,1039.8402706378547,528.470817498394,,960.0903309410253,500.3825989121582,,1091.3591348587477,539.7886927356346,,1184.7419911165675,542.2740026196109,
,150,,1111.7243019598627,603.2690663064294,,1049.9453700935353,650.4647994425666,,1142.843643778564,559.2168093091502,,,,
,153,,1145.723505963515,615.4116391648768,,,,,1162.7574632664175,569.9022734245839,,1171.6280124294444,491.7608995284702,
,167,,1268.8935254080914,649.0465290901266,,1219.0672814078189,715.8396559169955,,1275.0316732985889,598.32612406564,,,,
,169,,1283.1054507286194,647.1516057140561,,,,,1288.2961369310817,597.8523932216224,,1246.951216628243,518.2898267934559,
