track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,23,,533.7351228448933,534.86040679778,,,,,520.7219333253665,586.9238513393043,,571.7416185155761,664.7932797913479,
,40,,517.5002858392043,527.1939559895379,,575.1186475279444,463.648434663903,,500.4283870682551,577.9044974472548,,,,
,47,,522.4609304798315,525.8410529057305,,,,,497.7225809006403,568.4341758606029,,498.2338842953725,657.5777966777084,
,69,,516.7363766274486,516.6889766217525,,548.7281450341136,455.32983017820015,,489.5551974927545,562.8482413295525,,,,
,75,,516.7363766274486,516.6889766217525,,,,,484.070077013582,554.3712369526496,,406.48277809830677,595.2468821416584,
,92,,530.1494533750566,494.48802200502223,,566.7664206602071,445.6169125333805,,484.53259690143057,521.5323249154026,,,,
,98,,538.5589058813939,488.1809326252693,,,,,483.2711790254799,493.7811316444896,,411.1079769767923,520.8232274605735,
,119,,594.3991915362806,420.7228694180236,,,,,546.2320380189093,397.8407750830735,,466.198728596043,345.4322631217347,
,124,,605.2674350530035,410.9789269547548,,654.0871358118086,459.10852517482965,,564.5956218919928,382.4753273525341,,,,
,143,,688.0951937531078,395.77383115473566,,,,,679.0339744921367,348.0637947524908,,636.255721096257,275.0086615216461,
,148,,717.3049830531446,393.37302655473263,,690.899473011855,441.902758874808,,706.6432273921715,346.4632583524888,,,,
