track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,154,,585.8128093020396,606.7040283799115,,574.975723290471,504.6123740491226,,590.1137667609455,659.7888844264571,,,,
,158,,574.5181590793702,603.8803658242441,,,,,559.053478648605,651.8826292705885,,553.7710785822123,714.8472271540197,
,167,,575.6476241016371,566.6080200894353,,,,,522.3458654249299,546.2776496886306,,464.5433418231249,536.9564861469785,
,174,,603.3195171471768,499.4048512645531,,655.7324723825565,580.8512630521402,,561.3124086931391,462.1325055297443,,,,
,177,,618.5672949477805,479.0744808637484,,,,,586.725371694145,430.5074849062703,,548.1237534708777,383.3492431186761,
,189,,726.4312045742722,449.7083902848083,,689.0516905394309,527.2016744944611,,726.2143019441107,393.2351391714616,,698.9073339435126,320.6639343828615,
