track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,133,,396.1441798517877,374.1273480885847,,,,,393.2696640031904,428.67672964098193,,428.9546298418919,506.8284728306289,
,140,,365.81479438556255,367.53400342201405,,374.4641185543323,270.939290726919,,359.4238280481275,417.6878218633641,,,,
,150,,362.1493062027248,334.0209686074973,,,,,312.29612284021334,325.00333495446614,,248.29842654488743,343.4524281098598,
,159,,397.233264524172,252.33294624711274,,456.15214091471694,312.30694307608815,,359.4238280481276,215.038689469333,,312.5989638918515,216.89914122952928,
,170,,563.5054921969145,195.29770535936967,,521.4043232862874,259.1384981807344,,551.3135791704494,147.36975960251922,,,,
