track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,154,,433.92120535937386,455.4111064766063,,,,,427.56042638146164,508.9093780055374,,463.5785424756401,600.057541321039,
,155,,432.37636093084234,454.38121019091864,,421.2299080029459,371.47960727245186,,422.92589309586714,507.36453357700594,,,,
,169,,441.4643481610186,398.1222416231607,,,,,388.3049893618622,377.96890587116263,,313.4103725293937,387.1389833569088,
,174,,451.8324433067597,342.24972889333355,,503.0226585971258,382.4237077040675,,407.88916908159547,329.0084565718296,,,,
,180,,491.9608105631163,306.2583067149518,,,,,476.562457375979,261.162557293041,,435.8639468374511,215.86945712874746,
,188,,623.3839388168456,265.11367993642864,,577.7221266319202,326.49897227694873,,623.9640814660278,216.02330655543796,,,,
