track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,216,,388.68423764356373,354.8115038931492,,371.0349579376409,292.5797794039522,,372.315762177676,392.90027973402886,,354.9662404734364,469.7937417714169,
,238,,422.92566238940486,295.9470321390627,,,,,379.62572925824884,287.86759483948225,,306.8743517854572,280.88880300503456,
,241,,427.157748593947,287.4828597299783,,485.68602056978335,318.7417668502129,,385.0120207913025,275.9408064448634,,,,
,253,,492.21295801914073,272.443214540283,,,,,477.6982062626806,225.92524220936502,,435.9354930644705,170.71465801075487,
,262,,564.2633512534951,255.65477339829755,,533.2532704720755,319.441285231129,,564.7882446867303,209.83631944829563,,,,
,272,,677.935088152355,254.9552550173814,,,,,679.1594999665064,208.78704187692153,,622.7069007690588,167.21706610617457,
