track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,92,,641.7503895259817,461.32033646215416,,,,,625.3850277809258,503.623553371238,,614.7574760803161,588.2359815907802,
,111,,675.7993202089028,461.32033646215416,,725.9456611910493,381.41846283270684,,656.8544940181711,501.0440889255621,,,,
,120,,711.3959295592294,457.1931933490728,,,,,683.1650313640646,503.62355337123796,,642.09979920448,563.9890158014274,
,135,,751.1196820226372,460.28855068388384,,803.3295945613244,380.9025699435716,,722.3728909383374,490.72623114285875,,,,
,144,,779.4937909250716,464.41569379696523,,,,,730.6271771645002,470.60640846658714,,649.8381925415074,488.6686539876929,
,160,,828.8101360988976,448.1412998896027,,,,,796.7110796974271,415.372101871902,,726.7716910126761,375.7342235396312,
,179,,905.9638917699515,419.06887021645196,,,,,896.7873279953883,373.4407129202423,,858.1567097278768,312.55759751913047,
,180,,905.9638917699515,419.06887021645196,,891.6650539528209,506.69673679855083,,896.7873279953883,373.4407129202423,,,,
,203,,1026.7262919507316,416.2734442863412,,,,,1024.8178355944563,367.8498610600209,,1011.3460506979404,290.19419007824524,
,205,,1026.7262919507316,416.2734442863412,,1009.6320282034904,506.6967367985508,,1024.8178355944563,367.8498610600209,,,,
