track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,160,,547.944218439848,384.0121294811554,,628.8621852000206,422.75565633377477,,488.7725729895479,382.7187537940197,,405.7621863185072,400.7188677244699,
,174,,595.1524310203033,358.1446157384402,,,,,591.5959401168409,299.296021973763,,591.361597422489,213.1793930897843,
,181,,664.3480302820666,356.20455220773647,,638.562502853539,434.39603751799655,,661.438227222172,299.9427098173309,,,,
,190,,745.1840107280517,350.3843616156256,,,,,755.8546523830827,294.12251922522,,767.2606908729526,202.1856997491303,
