track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,93,,730.4687139215542,461.56057818442656,,721.6751932413031,381.9582157755997,,726.5105811331823,511.79277048161265,,,,
,100,,756.6609176240659,458.83222363208154,,,,,743.9720502681902,509.6100868397367,,702.2461584524092,567.4400748246715,
,119,,819.4130723280005,457.7408818111435,,,,,765.7988866869501,456.68000852424416,,681.5106638545874,467.58229820884515,
,132,,860.1279552340274,416.5470002826928,,,,,822.7997227553877,383.87221791581965,,770.1254090029988,339.2106673992545,
,138,,884.0778863552196,399.3030498754344,,899.8626807829737,499.31287826944197,,857.7666221923284,361.83828128432276,,,,
,147,,921.9187775267035,391.6390719166528,,,,,920.9944403522761,346.51032536675973,,898.4970398125895,266.4028767908299,
,164,,1030.1484312832642,409.6773475427463,,977.1035020536817,484.04972197044,,1038.474491865808,356.6857628994278,,1024.7649691952436,275.19075465995235,
