track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,209,,368.67801194936453,305.18067476715476,,334.8698576442806,254.49100356307264,,355.0026822500035,350.5794176886071,,,,
,210,,368.2932768398607,305.9501449861624,,,,,351.54006626446903,350.964152798111,,335.72948499824474,418.2392370979031,
,224,,385.991091877037,274.7866011163518,,,,,353.84847692149197,262.09034250272543,,289.17653674828085,257.80469643480444,
,234,,420.2325166228781,239.77570615150293,,433.362045677262,306.4302433460902,,389.62884210534844,200.91746009161585,,,,
,236,,427.5424837034509,237.85203060398376,,,,,413.09768378508227,195.53116855856217,,376.51140660565113,152.00254132125016,
,249,,530.6514930504784,206.30375162466942,,,,,525.055600650698,163.98288957924782,,487.3151181427553,109.29694416632461,
