track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,65,,652.2994641408865,316.63536237397096,,641.5042575303806,244.4673737199201,,640.3587538799691,365.46566387926646,,,,
,78,,684.902657216203,319.6919117247819,,,,,667.1884648481984,362.4091145284555,,626.2676623953369,419.2431065076679,
,94,,719.5435498587268,313.57881302316,,704.6729441138064,250.2408558270074,,700.8105077071185,355.27716604323,,,,
,103,,754.5097796435675,315.15386841887357,,,,,718.766139218253,345.511822589806,,658.3987924678934,384.2768767228271,
,123,,822.0271521446123,289.5077346781667,,902.2528520141502,314.6178854210267,,769.0116257306582,275.63919290849236,,681.166278543827,253.9526460812758,
,148,,921.7621114034991,261.1086276349583,,,,,912.6975839849865,217.15055578378932,,869.1413204012542,142.72281016204278,
,154,,956.2467413845379,259.41820459667207,,915.4381517127827,345.7216693254931,,945.8298755353965,212.07928666893065,,,,
,167,,1027.003834842092,251.63492431634117,,,,,1024.724034740569,206.77250465961413,,1006.4100817089088,130.34031880697086,
,173,,1064.8588798418832,255.17277898921884,,1017.3283662916602,337.9383890451622,,1064.3480070767991,210.6641447997796,,,,
