track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,46,,576.3435378795823,504.98730639676944,,623.045105689147,425.1853700110609,,565.5110972385319,554.0482068349403,,,,
,62,,593.0718246330212,506.41099037578556,,,,,575.4768850916445,555.8278118087104,,561.2293018053535,638.3439921303441,
,82,,600.267250977126,500.87604703416645,,620.2776340183374,417.4364493327942,,582.6723114357494,550.2928684670914,,,,
,89,,621.8535300094404,501.42954136832833,,,,,585.439783106559,535.9020157788816,,527.4661474214771,595.1714340657152,
,107,,649.5282467175359,477.0757906652043,,733.1904781873668,431.2738076868419,,600.9376244630924,499.3713897241957,,,,
,111,,655.063190059155,476.5222963310424,,,,,605.9190734705496,490.5154803776052,,523.5916870823437,494.43546524824774,
,129,,707.0916574703743,474.8618133285566,,,,,686.1757519240264,430.738092288119,,640.3789915905065,374.8806890692754,
,142,,761.8875965524034,470.98735298942324,,727.1020405115859,558.577504544081,,751.4880833551315,422.9891716098523,,,,
,153,,811.1740287028699,464.9872655971925,,,,,799.4887824929772,419.5605502428633,,771.9523365487089,348.7374511459844,
,166,,866.0319705746938,468.84446463505515,,823.1034387872774,555.148883177092,,860.3468117570317,420.8462832554842,,,,
,177,,916.8001244247371,478.2897025606446,,,,,915.050481409404,423.20759273688145,,899.0694969639343,344.8019353436555,
,191,,992.9624632265557,482.3456851003864,,946.5855738860841,564.6128424364896,,995.7194674776026,433.572881449555,,,,
