track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,48,,661.7109211877942,299.72430127715546,,664.4007122399018,201.9315456013692,,670.3387092676074,344.820305120273,,,,
,68,,659.7179366517248,326.0316971532706,,,,,686.2825855561621,367.9389257386772,,723.7209696588211,454.08878189026973,
,78,,670.4800531464991,334.00363529754793,,620.5550524463767,257.73511261131046,,702.2264618447167,371.12770099638806,,,,
,99,,732.9191779461933,437.2834455008157,,639.4045995557184,443.87439031605913,,767.0217800330786,415.1099775848518,,,,
,118,,813.1626484619692,497.94368809309856,,751.6499303367143,536.5364931735622,,840.1006549670888,459.0528304863481,,866.5352415886841,386.2639437162211,
