track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,212,,470.93910925814237,188.14257485672243,,552.0175035987943,287.88439306931446,,423.0588420319857,152.156548838185,,,,
,214,,470.93910925814237,188.14257485672243,,,,,430.975767756064,136.68255765021388,,340.33087667127734,81.82077658152224,
,228,,530.4747638661394,198.79344884622648,,,,,533.117873256861,126.7583108632138,,523.3074298242957,40.85587662189124,
,235,,590.8297164733291,194.69695885026337,,561.029781589913,300.4469623902679,,592.1073291987296,126.48521153014957,,,,
