track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,158,,366.3134668238014,432.14867471146147,,386.08989970002654,353.0502351659069,,360.87032866655363,481.6355072836225,,,,
,173,,379.99275387626864,430.53934682293595,,,,,361.6749926108164,478.01451953443996,,336.73073237114977,544.4641213745288,
,195,,377.98109401561163,422.4927073803081,,,,,353.6283531681886,464.33523248197275,,285.63457191046314,502.2192643007327,
,197,,382.40674570905696,422.49270738030816,,388.9062235049462,337.761620224914,,352.42135725179435,454.2769331786879,,,,
,209,,402.52334431562645,373.00587480814715,,,,,362.4796565550791,356.51026395076,,298.5091950186677,358.5867502498264,
,235,,510.3483128468391,270.81355388677395,,,,,493.63987946991233,225.75237300805816,,433.2904056826835,171.5023832087299,
,238,,524.0275998993063,261.96225049988334,,534.9527293886409,332.9336365593373,,505.3075066617227,218.10806553756169,,,,
