track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,145,,642.251376466703,547.5229262579148,,645.37620113825,452.6522460880839,,642.1155475669989,596.5709228156034,,637.3968867045128,673.9524284924453,
,162,,603.7356210626226,579.5472622118693,,550.6014771664115,509.776737249192,,648.6069670171248,602.1968196723792,,,,
,170,,598.902126072136,585.9919221991848,,,,,648.6069670171248,602.1968196723792,,695.3988265903531,665.3595485093579,
,171,,598.902126072136,585.9919221991848,,540.3974321864952,559.1857971519449,,648.6069670171248,602.1968196723792,,,,
,178,,654.7558459622045,650.9755770712837,,637.0673319962291,703.1165368686599,,675.9967719632161,604.3450396681511,,,,
,182,,708.4613458565011,661.1796220512001,,,,,710.3682918955659,617.2343596427822,,702.9175965755546,517.1323688010991,
,186,,758.94451575714,677.828327018432,,741.7930567901075,736.4139468031237,,765.6849567866916,624.2160746290408,,,,
