track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,129,,334.0806698972739,348.3139078959016,,361.53107859620474,239.0822508441933,,317.435625523427,413.0175724543808,,,,
,156,,310.5844731505183,358.8466857478955,,,,,259.1002404969993,410.18182457115165,,191.61883746287162,469.80406527609057,
,162,,314.2304347146701,361.68243363112475,,386.6477027048055,290.93592642324006,,255.85938577330887,399.64904671915775,,,,
,191,,307.7487252672893,345.4781600126727,,,,,238.03468479301154,333.6166317239653,,139.36005504336356,298.4438717609594,
,193,,311.394686831441,343.0475189699049,,423.5124251867841,392.2126365385658,,238.43979163347288,324.7042812338167,,,,
,218,,367.8641251987741,307.85641969750884,,,,,326.41753981446294,249.82089557278798,,257.6185165517642,149.49549809639947,
,222,,384.64127717747454,298.0356478075379,,404.68927906433976,405.71619788727594,,343.1946917931634,237.13573188157545,,,,
,246,,516.3091548911234,257.7607675657159,,,,,503.519695832724,187.56664850702532,,459.7674346886015,96.0538300832126,
,249,,537.6083704036254,253.88818292707916,,519.7050428318506,355.3725975849984,,528.3042375199991,181.37051308520654,,,,
