track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,127,,305.9298960718613,326.5184712921468,,335.8231069837848,218.11845725902322,,290.96809070627467,393.8702256750864,,,,
,131,,297.88325662923353,325.7869586155442,,,,,287.6762836615633,394.60173835168894,,288.7264927465606,485.14269833921924,
,164,,277.8837523298293,331.9406522461302,,355.78928835277316,277.4463821182694,,232.29304098628998,386.9096213134565,,,,
,191,,287.44293097046005,291.86563409887043,,,,,221.26321947786985,270.3611740411506,,130.2647237422583,233.2951072302933,
,192,,287.44293097046005,291.86563409887043,,377.11360993571867,362.7436684500517,,224.57216593039587,264.84626328694054,,,,
,214,,378.3824991523926,270.2674866556615,,,,,355.2977951919238,203.84096963156082,,304.1866478902042,108.63211584756084,
,220,,404.1487101372735,264.5837636442908,,398.3328425115029,361.6069238477776,,388.2633886578743,199.67290608988895,,,,
,241,,540.8284383433744,259.8976015343673,,,,,545.6403328494705,194.2057169616449,,508.0346996718747,92.23054846282875,
,249,,602.1390592815396,254.4304124061233,,545.1659219557713,354.5776806828924,,603.0458186960329,189.91006836088172,,,,
