track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,218,,373.0275029494742,393.45045580398113,,326.5019262025773,340.83827816661994,,363.7790948153425,433.1566760927192,,,,
,220,,375.5385344144014,391.2981431197578,,,,,367.0075638416775,428.4933319435685,,303.0308098376003,489.827463092392,
,234,,410.3342561426795,335.3380133299497,,,,,374.5406582364594,315.8556348025445,,311.6400605744939,312.9791042053703,
,248,,491.04598180105654,266.46400743480126,,,,,483.59116757044444,227.2520959686817,,440.42010284719333,179.17699900281627,
,260,,600.4552099157454,238.84266132060105,,574.7353224496748,315.0105259559392,,601.6096464220268,196.04356204744258,,,,
,266,,666.1007467845587,240.27753644341666,,,,,667.6139020715441,197.83715595096206,,630.8997754009632,150.83821532720836,
