track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,82,,718.0747601017165,300.68956412372535,,690.4830052728503,247.31289025179447,,716.7700361296515,348.37720802364015,,,,
,91,,753.6003534467121,297.63828616771343,,,,,741.6161566286055,342.4926005370458,,706.5727483961607,411.27237934443815,
,105,,803.2561399063147,285.66996840565537,,778.590195606299,229.2330910793238,,787.4522672067001,328.7417673636174,,,,
,115,,849.620501526328,285.66996840565537,,,,,811.3634474132479,314.45337919141195,,737.4823228095029,361.700420379644,
,132,,929.7614278202544,265.93922363420234,,,,,895.4018047731403,233.58168457261684,,826.14887956023,207.26471439074015,
,140,,970.0527212689162,240.2147824323644,,980.3098176209119,334.3868558280177,,940.6520266462528,202.89831494632818,,,,
,151,,1028.6801552608408,228.99909940782226,,,,,1026.0441587649257,181.99636021877248,,996.1038226413285,134.29895036795813,
,161,,1097.5660336627138,232.2155606561588,,1037.1339663415233,308.6551658413258,,1096.2702293536058,182.8004755308566,,,,
,171,,1167.5111077252093,234.5865801159044,,,,,1169.4754551732515,185.1714949906022,,1135.9939707663195,133.4098180705535,
