track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,90,,318.90580055026925,262.5098485941928,,342.326828716166,149.13890923429062,,305.57362164369613,329.26293386374914,,,,
,94,,315.0248072206439,266.00274259085563,,,,,300.9164296481457,329.65103319671164,,285.978395892937,434.6411878512911,
,130,,269.8869508228684,262.45619673103045,,294.93207949850176,159.45613355378217,,254.48892021043378,325.4596608169182,,,,
,143,,293.1807367010955,269.44433249449855,,,,,241.2891082127718,312.6480785838933,,181.93281897018952,366.31274927515847,
,172,,325.87099260571864,254.62474981773607,,403.899599180579,303.2932595341242,,267.8771830151986,225.47406283823156,,179.75346857654796,160.14620203666829,
,194,,419.38879019255694,221.95477686163537,,,,,398.9654495015527,159.72574226407886,,351.27082659607674,85.00526423763665,
,196,,429.18978207938716,221.54640219968408,,427.99370423570326,321.2617446599796,,412.033438683993,163.80948888359143,,,,
