track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,140,,481.37019342098836,292.0015176191706,,572.9726249879686,269.85669845820416,,433.1444679281489,310.1087772390713,,,,
,141,,481.37019342098836,292.0015176191706,,,,,433.1444679281489,310.1087772390713,,373.68032745125606,342.51277690403504,
,153,,513.0578977558146,276.4810093735415,,,,,500.40000365920855,222.15923051383945,,484.2639487013637,156.26667795648524,
,161,,586.7803119225532,268.07406740715896,,571.032561457265,361.68637224484326,,579.942608418058,216.33903992172853,,,,
,164,,615.8812648831079,260.3138132843444,,,,,609.6902492221805,209.87216148604975,,589.0273793593606,169.20043482784286,
