track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,141,,503.5487132370971,292.36166107640213,,,,,490.8120580316961,337.9066530074622,,498.26655707017153,420.7129338805762,
,143,,499.28083551130055,290.2277222135039,,520.5294694131738,209.3983981585206,,487.397755851059,334.4923508268249,,,,
,156,,484.07415289060464,284.66430174251764,,,,,442.5194973851029,299.25735451057847,,407.76825074212786,349.13025715388596,
,165,,512.8151617182652,244.0887598681732,,,,,475.4871251580077,216.83828507831635,,409.45889832022556,204.15722733200954,
,169,,532.2576088663885,223.80098893100103,,575.052853806824,298.5800579031734,,492.816262833509,190.63324761780223,,,,
,175,,581.3615682185883,213.90099712612198,,,,,579.9361907164441,166.0812679417023,,545.6827855553606,136.83728305883236,
,180,,650.1893033550496,204.51539688024093,,608.5281613504666,275.7417639715294,,650.3281925605522,157.9470810619387,,,,
