track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,214,,343.2937957365498,242.97686938182215,,448.972346841261,274.0572160331916,,262.53132931322716,234.2981715466313,,,,
,215,,341.6739548509138,241.8198401777965,,,,,263.2255468356426,223.19069118798447,,207.41367014271708,231.3363573067491,
,228,,378.07292611579294,240.08655583184984,,,,,357.6895436897338,165.55898668525907,,331.34350087790096,83.57386681479912,
,234,,424.0049612833786,230.55349192914338,,447.672383581801,321.2892144602372,,401.8882945113728,156.89256495552593,,,,
,246,,510.8689155628801,235.772785319328,,,,,522.304849156347,158.3837916384358,,518.8652562538205,76.11773340024963,
