track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,215,,374.7697158642452,287.69327992115757,,476.4341311452679,308.18814501678185,,290.2394564341099,279.21202542907906,,,,
,222,,372.60255876119055,266.38290174112024,,,,,311.18864176363815,220.33759079609456,,215.66106932959815,190.21972586002607,
,231,,396.80247974530073,242.18298075701006,,450.78943875912125,335.99999450598307,,365.0063764894951,172.2989416783833,,,,
,237,,415.5845079717743,245.7949092621011,,,,,414.85098985975196,173.02132737940153,,396.61868743466096,80.77829215576654,
,249,,528.2766773306159,239.65463080344625,,516.5265375517788,345.39100861921986,,523.9312307135024,163.63031326616473,,,,
,255,,574.5257978246935,252.43894053351647,,,,,597.2530071065522,179.7987049836065,,570.334896119733,86.41842880138577,
