track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,203,,506.31482972875426,165.828789870837,,594.1864978054878,109.99236453775495,,451.0406148344251,201.1673502544973,,,,
,205,,500.6606600673686,165.35760906572153,,,,,446.3288067832704,198.34026542380445,,420.349727039579,280.19904915747236,
,217,,462.4950148530155,172.42532114245364,,578.6375312366772,132.1378623781821,,407.22079995868626,204.93679669542104,,,,
,233,,429.5123584949325,214.83159360284603,,,,,366.69925071875576,186.08956449080216,,318.1034923295218,123.29584105402057,
,240,,422.4446464182005,212.94687038238413,,446.7069058043454,318.25428039879307,,362.45862347271657,180.90657563453198,,,,
,243,,407.83804145962085,212.00450877215317,,,,,364.34334669317843,158.2898969889894,,359.0962223745678,106.80451287497908,
,256,,518.5655306617565,211.06214716192227,,484.4013702135831,321.5525460346013,,506.6399498380506,141.32738800483244,,,,
,261,,576.5207696909592,207.2927007209985,,,,,582.5000594616415,144.15447283552527,,534.8466626826385,57.330528337854645,
