track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,152,,459.3568580626615,402.39451521666865,,,,,430.7423830769638,439.05491525722596,,398.08368990446115,532.8349658430325,
,153,,456.00596615334007,405.74540712599014,,477.233140088141,314.6610572983375,,425.3809560220493,437.71455849349735,,,,
,167,,509.07810771451045,349.7012256373942,,,,,467.83866927098563,314.587190071582,,392.8410913244021,295.53294787418224,
,172,,537.2049628268669,320.2349964720685,,568.3384160367192,369.9478083191608,,497.7513564539678,290.03199910047715,,,,
,179,,609.9776197048684,297.46563757158947,,,,,605.7941967268289,245.83265535248853,,567.4061762280744,191.95468777788562,
,183,,675.117397814115,288.947358895765,,646.0050745515899,346.3972731565871,,679.4522535118998,239.31867754156383,,,,
