track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,158,,431.29436895025526,237.01052931948263,,,,,420.8289828445723,286.3817084883848,,383.8933517296068,347.87380208035347,
,163,,444.50194554320996,237.01052931948263,,477.509126356764,180.30862979846057,,421.7723811726405,281.97918295739987,,,,
,190,,469.97370040105125,210.2809100242171,,484.7418468719535,126.22045898921739,,432.1497627813906,234.18033433527802,,,,
,192,,471.2315648384755,210.28091002421706,,,,,433.0931611094588,225.68974938266425,,355.59140188756095,254.47736760160217,
,213,,566.4455709019571,184.29197536669102,,,,,555.2411539998311,143.70647369028669,,505.6184337741885,82.71413581958919,
,233,,686.0355059141419,176.70822339030858,,644.779431367406,254.70963526291882,,686.2067169765897,127.0805558959098,,,,
,235,,696.831868553297,178.05776872020294,,,,,698.0152386131656,128.76748755827776,,668.576032358935,64.15788753354146,
