track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,45,,391.8374457939012,428.8267594590402,,,,,372.2372173484622,500.29942014130825,,413.3389613858212,575.4380332810156,
,60,,359.59414022295323,412.7051066735662,,361.6668280583999,314.4956097462859,,343.21824233460904,484.1777673558343,,,,
,79,,359.59414022295323,402.21921878098146,,,,,313.2585626415097,470.32141549777583,,286.75931468247643,532.3709937221853,
,93,,345.59250771551194,395.65595354311836,,443.4888680237599,342.0613237453109,,311.50835857807954,459.3826401013374,,,,
,122,,345.59250771551194,385.59228017839496,,,,,298.8193791182109,453.6944768951894,,245.1919681760101,460.1750761056911,
,138,,345.59250771551194,385.59228017839496,,387.48233799399475,289.11765082654864,,299.2569301340685,446.2561096256112,,,,
,141,,347.7802627947997,389.09268830525525,,,,,288.31815473763,432.6920281340274,,251.31768239801565,468.0509943911268,
,159,,380.5965889841152,371.5906476709537,,,,,322.00958295866064,323.30427416964244,,229.00258058928114,289.0926289053929,
,160,,380.5965889841152,371.5906476709537,,445.23907208719004,440.0727512973999,,322.00958295866064,323.30427416964244,,,,
,176,,449.29209847374887,354.9637090683672,,,,,432.2724389547607,278.6740705521734,,391.3340074724284,176.64201783000522,
,179,,466.7941391080504,347.9628928146466,,472.3672350703575,457.5747919317015,,448.46182654148964,272.1108053143103,,,,
,195,,584.3958318544122,341.7515358033951,,,,,581.3848665822719,260.51627222664087,,561.9392800481364,151.7965897849992,
,196,,594.7480935398314,342.16562627081186,,568.4362235110475,436.04208762602957,,594.2216710721916,261.7585436288912,,,,
