track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,134,,317.52501427342963,411.1286796358747,,,,,313.4779560247665,484.43555856600796,,310.8732390143456,552.4871636085678,
,139,,317.52501427342963,411.1286796358747,,285.0741809860358,324.94125333950416,,313.4779560247665,484.43555856600796,,,,
,162,,317.52501427342963,411.1286796358747,,,,,283.8732549183665,473.1575771921413,,267.17106119061225,523.8222942833233,
,184,,310.52956856544444,401.44267788635665,,,,,261.81069537779774,447.32823919342667,,202.5977161938257,459.2489492865368,
,185,,309.99145735713785,398.2140106365174,,327.58496644225363,295.34513688264366,,262.34880658610433,447.3282391934266,,,,
,208,,357.29346550755065,389.0753662983616,,,,,301.6179795516568,341.81961220834404,,215.3515062689456,277.21758185073486,
,210,,365.02303525004754,387.14297386273734,,438.5061403745993,464.07350870444816,,308.574592319904,328.29286515897445,,,,
,234,,455.4504242056821,373.8285116852205,,,,,442.8287526098644,295.00670971518264,,425.05428556483423,194.55696249865173,
,237,,473.20304044237105,368.28081911125525,,482.3329117089251,468.51166276362045,,463.90998439093255,290.0137863986139,,,,
,256,,579.7187378625049,368.83558836865177,,,,,587.0687595329625,293.3424019429931,,584.2730624376386,194.00219324125524,
,262,,623.2055508578851,370.9568963196459,,596.3532140748611,473.2846056533573,,624.1916486753603,290.6907670042504,,,,
