track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,210,,416.838004275925,284.1056432794717,,,,,381.26464953051993,337.1557239717651,,327.8316658249166,430.4398529392297,
,213,,411.1638225158684,279.56629787142634,,409.84484938756543,160.5717767770005,,374.4556314184519,336.39916640375753,,,,
,234,,441.80440402017456,272.37900097535453,,,,,391.0998979146182,221.02413728260478,,303.243544864671,168.6709344086142,
,245,,502.7072882447832,232.65972865495763,,547.5383267649413,322.853375114622,,462.21630930732874,174.8741256341437,,,,
,254,,571.5795945978844,235.01836928348848,,,,,581.0917969852842,171.10030062849427,,553.3228517490372,78.4108522184957,
