track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,102,,492.498986595937,656.0814656684328,,566.0637365328181,600.7500511441707,,469.0985223739625,702.4788486621752,,491.13397389489774,762.7616515407497,
,115,,428.61798849632055,558.4963826819021,,,,,381.311138482465,570.4058648611277,,344.95230339700237,619.7152447532649,
,117,,425.4827247859099,542.820064129849,,517.0752410576521,545.8829362119848,,374.2567951340411,551.594282598664,,,,
,125,,445.0312258339454,466.12979078755575,,,,,411.34882276364704,434.30327631045077,,358.98712466225857,427.2376959726073,
,128,,471.1705158886446,438.85400986091315,,500.59612341447223,499.28681046230366,,434.0786402025159,404.75451363992124,,,,
,136,,535.9166900015553,381.78958521902564,,,,,532.2952941534568,331.7778936651998,,486.2846873249306,273.602706552141,
,140,,599.0167749421039,369.71826462170327,,577.4136181247054,432.34585078624343,,591.0058079677065,320.2552694586648,,,,
