StartFrame,EndFrame,ID,Individual,Trial,Turn
200,254,BG67_1_11,BG67,1,11
162,239,BG67_1_12,BG67,1,12
184,265,BG67_1_13,BG67,1,13
144,213,BG67_1_14,BG67,1,14
146,231,BG67_1_15,BG67,1,15
159,249,BG67_1_16,BG67,1,16
181,244,BG67_9_1,BG67,9,1
197,257,BG67_9_2,BG67,9,2
186,271,BG67_9_3,BG67,9,3
197,254,BG67_9_4,BG67,9,4
201,258,BG67_9_5,BG67,9,5
220,271,BG67_9_6,BG67,9,6
173,224,BG67_9_7,BG67,9,7
197,261,BG67_9_8,BG67,9,8
173,245,BG67_9_9,BG67,9,9
172,264,BG67_9_10,BG67,9,10
182,264,BG67_9_11,BG67,9,11
201,278,BG67_9_12,BG67,9,12
201,264,BG67_9_13,BG67,9,13
224,297,BG67_9_14,BG67,9,14
229,276,BG67_9_15,BG67,9,15
229,297,BG67_9_16,BG67,9,16
