pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,Individual
165.2005383,59.09342768,2775.247675,-130.3589758,64.30332485,2765.986052,170.9054622,59.53413477,2570.547558,171.1975809,-126.4267979,2774.871436,BG63
136.5643986,61.72132079,2311.273039,-160.357734,65.48230019,2301.321109,141.1209459,60.18681795,2107.588846,139.653511,-126.3125453,2313.370627,BG64
137.0079012,96.76905872,2072.123011,-183.2367485,85.24068906,2051.722847,137.3827186,92.93796883,1836.87733,134.7165522,-105.7460556,2066.953781,BG65
137.0079012,96.76905872,2072.123011,-183.2367485,85.24068906,2051.722847,137.3827186,92.93796883,1836.87733,134.7165522,-105.7460556,2066.953781,BG66
146.8303199,92.60116797,2168.963442,-171.8229271,88.03665844,2158.201057,147.7969465,92.12648309,1930.081251,139.4547443,-107.5067813,2158.791001,BG67
