Individual,bodypart,h1,h2,w1,w2,l,s0,FullBL
BG65,Snout,0.56,4.263,0.458,2.205,1.682,0.841,19
BG65,GillCenterLow,4.263,6.632,2.205,3.064,2.429,2.8965,19
BG65,PelvFinsCenter,6.632,7.02,3.064,2.934,1.794,5.008,19
BG65,MidPelvAnal,7.02,6.481,2.934,2.579,1.981,6.8955,19
BG65,AnalBase,6.481,4.909,2.579,1.981,2.504,9.138,19
BG65,MidAnalBasePeduncle,4.909,2.024,1.981,1.158,3.13,11.955,19
BG65,Peduncle,2.024,2.519,1.158,0.561,1.981,14.5105,19
