Individual,bodypart,h1,h2,w1,w2,l,s0,FullBL
BG66,Snout,0.63,4.378,0.499,2.401,1.667,0.8335,19
BG66,GillCenterLow,4.378,7.398,2.401,2.992,3.031,3.1825,19
BG66,PelvFinsCenter,7.398,7.684,2.992,2.847,2.743,6.0695,19
BG66,MidPelvAnal,7.684,6.954,2.847,2.454,2.178,8.53,19
BG66,AnalBase,6.954,4.958,2.454,1.942,2.257,10.7475,19
BG66,MidAnalBasePeduncle,4.958,2.382,1.942,1.115,2.821,13.2865,19
BG66,Peduncle,2.382,2.576,1.115,0.525,1.785,15.5895,19
