Individual,bodypart,h1,h2,w1,w2,l,s0,FullBL
BG67,Snout,0.254,2.78,0.395,1.509,1.509,0.7545,14.5
BG67,GillCenterLow,2.78,4.546,1.509,1.653,2.084,2.551,14.5
BG67,PelvFinsCenter,4.546,4.656,1.653,1.824,1.294,4.24,14.5
BG67,MidPelvAnal,4.656,4.513,1.824,1.653,1.177,5.4755,14.5
BG67,AnalBase,4.513,3.707,1.653,1.258,1.761,6.9445,14.5
BG67,MidAnalBasePeduncle,3.707,1.677,1.258,0.791,2.336,8.993,14.5
BG67,Peduncle,1.677,1.898,0.791,0.207,1.419,10.8705,14.5
