Individual,bodypart,h1,h2,w1,w2,l,s0,FullBL
BG63,Snout,0.6,2.551,0.46,1.555,1.372,0.686,13
BG63,GillCenterLow,2.551,4.46,1.555,1.72,1.797,2.2705,13
BG63,PelvFinsCenter,4.46,4.7,1.72,1.69,1.23,3.784,13
BG63,MidPelvAnal,4.7,4.52,1.69,1.51,1.09,4.944,13
BG63,AnalBase,4.52,3.537,1.51,1.204,1.691,6.3345,13
BG63,MidAnalBasePeduncle,3.537,1.449,1.204,0.716,2.262,8.311,13
BG63,Peduncle,1.449,1.74,0.716,0.32,1.16,10.022,13
